MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N,_STRENGTHS,_FORMS,_SIG3,_ROUTE_FAMILY,_FORM_FIRST,_FORM_GROUP
Abacavir,Oral:,300 mg (as Sulfate) Tablet ,J05AF06,,,,STREPTOKINASE,STREPTOKINASE,ABACAVIR,ABACAVIR,PO,['300.0MG'],['TABLET'],['300.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Abiraterone,Oral:,250 mg (as Acetate) Tablet ,L02BX03 ,,,,STREPTOKINASE,STREPTOKINASE,ABIRATERONE,ABIRATERONE,PO,['250.0MG'],['TABLET'],['250.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Acetated Ringer's Solution,Inj.:,"in 500 mL Bottle/Bag (IV Infusion)
Composed of:
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 3 mmol/L
Cl- = 109 mmol/L ",B05BB01,,,,STREPTOKINASE,STREPTOKINASE,ACETATED RINGER S SOLUTION,ACETATED RINGER S SOLUTION,INJ.,"['130.0MMOL/1ML', '4.0MMOL/1ML', '3.0MMOL/1ML', '109.0MMOL/1ML', '130.0MMOL', '4.0MMOL', '3.0MMOL', '109.0MMOL']",['UNSPECIFIED'],"['130.0MMOL/1ML', '4.0MMOL/1ML', '3.0MMOL/1ML', '109.0MMOL/1ML', '130.0MMOL', '4.0MMOL', '3.0MMOL', '109.0MMOL']|['UNSPECIFIED']|INJ.",INJ.,UNSPECIFIED,UNSPECIFIED
Acetated Ringer's Solution,Inj.:,"in 1 L Bottle/Bag (IV Infusion)
Composed of:
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 3 mmol/L
Cl- = 109 mmol/L ",B05BB01,,,,STREPTOKINASE,STREPTOKINASE,ACETATED RINGER S SOLUTION,ACETATED RINGER S SOLUTION,INJ.,"['130.0MMOL/1ML', '4.0MMOL/1ML', '3.0MMOL/1ML', '109.0MMOL/1ML', '130.0MMOL', '4.0MMOL', '3.0MMOL', '109.0MMOL']",['UNSPECIFIED'],"['130.0MMOL/1ML', '4.0MMOL/1ML', '3.0MMOL/1ML', '109.0MMOL/1ML', '130.0MMOL', '4.0MMOL', '3.0MMOL', '109.0MMOL']|['UNSPECIFIED']|INJ.",INJ.,UNSPECIFIED,UNSPECIFIED
Acetazolamide,Oral:,250 mg Tablet ,S01EC01,,,,STREPTOKINASE,STREPTOKINASE,ACETAZOLAMIDE,ACETAZOLAMIDE,PO,['250.0MG'],['TABLET'],['250.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Acetylcysteine,Oral:,600 mg Effervescent tablet ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO,['600.0MG'],['TABLET'],['600.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Acetylcysteine,Oral:,100 mg Sachet ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO,['100.0MG'],['SACHET'],['100.0MG']|['SACHET']|PO,ENTERAL,SACHET,SACHET
Acetylcysteine,Oral:,200 mg Sachet ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO,['200.0MG'],['SACHET'],['200.0MG']|['SACHET']|PO,ENTERAL,SACHET,SACHET
Acetylcysteine,Oral:,100 mg/5 mL Granules for suspension in 150 mL ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO,"['100.0MG/5ML', '100.0MG']",['SUSPENSION'],"['100.0MG/5ML', '100.0MG']|['SUSPENSION']|PO",ENTERAL,SUSPENSION,LIQUID_ORAL
Acetylcysteine,Inj.:,200 mg/mL in 10 mL Ampul (IV Infusion) ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,INJ.,"['200.0MG/1ML', '200.0MG']",['AMPUL'],"['200.0MG/1ML', '200.0MG']|['AMPUL']|INJ.",INJ.,AMPUL,AMPUL
Acetylcysteine,Inj.:,200 mg/mL in 25 mL Bottle (IV Infusion) ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,INJ.,"['200.0MG/1ML', '200.0MG']",['UNSPECIFIED'],"['200.0MG/1ML', '200.0MG']|['UNSPECIFIED']|INJ.",INJ.,UNSPECIFIED,UNSPECIFIED
Acetylcysteine,Inhalation:,100 mg/mL Solution for inhalation in 3 mL Ampule ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,INH,"['100.0MG/1ML', '100.0MG']","['AMPUL', 'SOLUTION']","['100.0MG/1ML', '100.0MG']|['AMPUL', 'SOLUTION']|INH",RESPIRATORY,AMPUL,AMPUL
Aciclovir,Oral:,200 mg Tablet *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO,['200.0MG'],['TABLET'],['200.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Aciclovir,Oral:,400 mg Tablet *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO,['400.0MG'],['TABLET'],['400.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Aciclovir,Oral:,800 mg Tablet *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO,['800.0MG'],['TABLET'],['800.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Aciclovir,Oral:,200 mg/5 mL Suspension in 60 mL *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO,"['200.0MG/5ML', '200.0MG']",['SUSPENSION'],"['200.0MG/5ML', '200.0MG']|['SUSPENSION']|PO",ENTERAL,SUSPENSION,LIQUID_ORAL
Aciclovir,Oral:,200 mg/5 mL Suspension in 120 mL *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO,"['200.0MG/5ML', '200.0MG']",['SUSPENSION'],"['200.0MG/5ML', '200.0MG']|['SUSPENSION']|PO",ENTERAL,SUSPENSION,LIQUID_ORAL
Aciclovir,Inj.:,25 mg/mL in 10 mL Vial (IV infusion) ,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,INJ.,"['25.0MG/1ML', '25.0MG']",['VIAL'],"['25.0MG/1ML', '25.0MG']|['VIAL']|INJ.",INJ.,VIAL,VIAL
Activated Charcoal,Oral:,"Powder USP Grade, given as slurry *Primary Health Care",A07BA01,,,,STREPTOKINASE,STREPTOKINASE,ACTIVATED CHARCOAL,ACTIVATED CHARCOAL,PO,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|PO,ENTERAL,UNSPECIFIED,UNSPECIFIED
Adenosine,Inj.:,3 mg/mL in 2 mL Vial (IV) ,C01EB10,,,,STREPTOKINASE,STREPTOKINASE,ADENOSINE,ADENOSINE,INJ.,"['3.0MG/1ML', '3.0MG']",['VIAL'],"['3.0MG/1ML', '3.0MG']|['VIAL']|INJ.",INJ.,VIAL,VIAL
Albendazole,Oral:,400 mg Chewable tablet *Primary Health Care,P02CA03,,,,STREPTOKINASE,STREPTOKINASE,ALBENDAZOLE,ALBENDAZOLE,PO,['400.0MG'],['TABLET'],['400.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Albendazole,Oral:,200 mg/5 mL Suspension in 10 mL *Primary Health Care,P02CA03,,,,STREPTOKINASE,STREPTOKINASE,ALBENDAZOLE,ALBENDAZOLE,PO,"['200.0MG/5ML', '200.0MG']",['SUSPENSION'],"['200.0MG/5ML', '200.0MG']|['SUSPENSION']|PO",ENTERAL,SUSPENSION,LIQUID_ORAL
Albendazole,Oral:,200 mg/5 mL Suspension in 60 mL *Primary Health Care,P02CA03,,,,STREPTOKINASE,STREPTOKINASE,ALBENDAZOLE,ALBENDAZOLE,PO,"['200.0MG/5ML', '200.0MG']",['SUSPENSION'],"['200.0MG/5ML', '200.0MG']|['SUSPENSION']|PO",ENTERAL,SUSPENSION,LIQUID_ORAL
"Albumin, Human",Inj.:,"20% in 50 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Albumin, Human",Inj.:,"20% in 100 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Albumin, Human",Inj.:,"25% in 50 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Albumin, Human",Inj.:,"25% in 100 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Albumin, Human",Inj.:,"25% in 50 mL Plastic bag (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|INJ.,INJ.,UNSPECIFIED,UNSPECIFIED
"Alcohol, Ethyl",Oral:,95% USP grade ,V03AZ01,,,,STREPTOKINASE,STREPTOKINASE,ALCOHOL ETHYL,ALCOHOL ETHYL,PO,[],['UNSPECIFIED'],[]|['UNSPECIFIED']|PO,ENTERAL,UNSPECIFIED,UNSPECIFIED
"Alcohol, Ethyl",Inj.:,Absolute in 1 mL Ampul (IV) ,V03AZ01,,,,STREPTOKINASE,STREPTOKINASE,ALCOHOL ETHYL,ALCOHOL ETHYL,INJ.,[],['AMPUL'],[]|['AMPUL']|INJ.,INJ.,AMPUL,AMPUL
"Alcohol, Ethyl",Topical:,70% Solution *Primary Health Care,V03AZ01,,,,STREPTOKINASE,STREPTOKINASE,ALCOHOL ETHYL,ALCOHOL ETHYL,TOP,[],['SOLUTION'],[]|['SOLUTION']|TOP,TOPICAL,SOLUTION,LIQUID_ORAL
Alendronate,Oral:,10 mg (as Sodium) Tablet ,M05BB03,,,,STREPTOKINASE,STREPTOKINASE,ALENDRONATE,ALENDRONATE,PO,['10.0MG'],['TABLET'],['10.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
Alendronate,Oral:,70 mg (as Sodium) Tablet ,M05BB03,,,,STREPTOKINASE,STREPTOKINASE,ALENDRONATE,ALENDRONATE,PO,['70.0MG'],['TABLET'],['70.0MG']|['TABLET']|PO,ENTERAL,TABLET,SOLID_ORAL
