MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N
Abacavir,Oral:,300 mg (as Sulfate) Tablet ,J05AF06,,,,STREPTOKINASE,STREPTOKINASE,ABACAVIR,ABACAVIR,PO
Abiraterone,Oral:,250 mg (as Acetate) Tablet ,L02BX03 ,,,,STREPTOKINASE,STREPTOKINASE,ABIRATERONE,ABIRATERONE,PO
Acetated Ringer's Solution,Inj.:,"in 500 mL Bottle/Bag (IV Infusion)
Composed of:
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 3 mmol/L
Cl- = 109 mmol/L ",B05BB01,,,,STREPTOKINASE,STREPTOKINASE,ACETATED RINGER S SOLUTION,ACETATED RINGER S SOLUTION,INJ.
Acetated Ringer's Solution,Inj.:,"in 1 L Bottle/Bag (IV Infusion)
Composed of:
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 3 mmol/L
Cl- = 109 mmol/L ",B05BB01,,,,STREPTOKINASE,STREPTOKINASE,ACETATED RINGER S SOLUTION,ACETATED RINGER S SOLUTION,INJ.
Acetazolamide,Oral:,250 mg Tablet ,S01EC01,,,,STREPTOKINASE,STREPTOKINASE,ACETAZOLAMIDE,ACETAZOLAMIDE,PO
Acetylcysteine,Oral:,600 mg Effervescent tablet ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO
Acetylcysteine,Oral:,100 mg Sachet ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO
Acetylcysteine,Oral:,200 mg Sachet ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO
Acetylcysteine,Oral:,100 mg/5 mL Granules for suspension in 150 mL ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO
Acetylcysteine,Inj.:,200 mg/mL in 10 mL Ampul (IV Infusion) ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,INJ.
Acetylcysteine,Inj.:,200 mg/mL in 25 mL Bottle (IV Infusion) ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,INJ.
Acetylcysteine,Inhalation:,100 mg/mL Solution for inhalation in 3 mL Ampule ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,INH
Aciclovir,Oral:,200 mg Tablet *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO
Aciclovir,Oral:,400 mg Tablet *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO
Aciclovir,Oral:,800 mg Tablet *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO
Aciclovir,Oral:,200 mg/5 mL Suspension in 60 mL *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO
Aciclovir,Oral:,200 mg/5 mL Suspension in 120 mL *Primary Health Care,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,PO
Aciclovir,Inj.:,25 mg/mL in 10 mL Vial (IV infusion) ,J05AB01,,,,STREPTOKINASE,STREPTOKINASE,ACICLOVIR,ACICLOVIR,INJ.
Activated Charcoal,Oral:,"Powder USP Grade, given as slurry *Primary Health Care",A07BA01,,,,STREPTOKINASE,STREPTOKINASE,ACTIVATED CHARCOAL,ACTIVATED CHARCOAL,PO
Adenosine,Inj.:,3 mg/mL in 2 mL Vial (IV) ,C01EB10,,,,STREPTOKINASE,STREPTOKINASE,ADENOSINE,ADENOSINE,INJ.
Albendazole,Oral:,400 mg Chewable tablet *Primary Health Care,P02CA03,,,,STREPTOKINASE,STREPTOKINASE,ALBENDAZOLE,ALBENDAZOLE,PO
Albendazole,Oral:,200 mg/5 mL Suspension in 10 mL *Primary Health Care,P02CA03,,,,STREPTOKINASE,STREPTOKINASE,ALBENDAZOLE,ALBENDAZOLE,PO
Albendazole,Oral:,200 mg/5 mL Suspension in 60 mL *Primary Health Care,P02CA03,,,,STREPTOKINASE,STREPTOKINASE,ALBENDAZOLE,ALBENDAZOLE,PO
"Albumin, Human",Inj.:,"20% in 50 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.
"Albumin, Human",Inj.:,"20% in 100 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.
"Albumin, Human",Inj.:,"25% in 50 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.
"Albumin, Human",Inj.:,"25% in 100 mL Bottle (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.
"Albumin, Human",Inj.:,"25% in 50 mL Plastic bag (IV, IV infusion) ",B05AA01,,,,STREPTOKINASE,STREPTOKINASE,ALBUMIN HUMAN,ALBUMIN HUMAN,INJ.
"Alcohol, Ethyl",Oral:,95% USP grade ,V03AZ01,,,,STREPTOKINASE,STREPTOKINASE,ALCOHOL ETHYL,ALCOHOL ETHYL,PO
"Alcohol, Ethyl",Inj.:,Absolute in 1 mL Ampul (IV) ,V03AZ01,,,,STREPTOKINASE,STREPTOKINASE,ALCOHOL ETHYL,ALCOHOL ETHYL,INJ.
"Alcohol, Ethyl",Topical:,70% Solution *Primary Health Care,V03AZ01,,,,STREPTOKINASE,STREPTOKINASE,ALCOHOL ETHYL,ALCOHOL ETHYL,TOP
Alendronate,Oral:,10 mg (as Sodium) Tablet ,M05BB03,,,,STREPTOKINASE,STREPTOKINASE,ALENDRONATE,ALENDRONATE,PO
