MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N,_STRENGTHS,_FORMS,_SIG3
Abacavir,Oral:,300 mg (as Sulfate) Tablet ,J05AF06,,,,STREPTOKINASE,STREPTOKINASE,ABACAVIR,ABACAVIR,PO,['300MG'],['TABLET'],300MG|TABLET|PO
Abiraterone,Oral:,250 mg (as Acetate) Tablet ,L02BX03 ,,,,STREPTOKINASE,STREPTOKINASE,ABIRATERONE,ABIRATERONE,PO,['250MG'],['TABLET'],250MG|TABLET|PO
Acetated Ringer's Solution,Inj.:,"in 500 mL Bottle/Bag (IV Infusion)
Composed of:
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 3 mmol/L
Cl- = 109 mmol/L ",B05BB01,,,,STREPTOKINASE,STREPTOKINASE,ACETATED RINGER S SOLUTION,ACETATED RINGER S SOLUTION,INJ.,"['109MMOL', '130MMOL', '3MMOL', '4MMOL', '500ML']",['UNSPECIFIED'],"109MMOL,130MMOL,3MMOL,4MMOL,500ML|UNSPECIFIED|INJ."
Acetated Ringer's Solution,Inj.:,"in 1 L Bottle/Bag (IV Infusion)
Composed of:
Na+ = 130 mmol/L
K+ = 4 mmol/L
Ca++ = 3 mmol/L
Cl- = 109 mmol/L ",B05BB01,,,,STREPTOKINASE,STREPTOKINASE,ACETATED RINGER S SOLUTION,ACETATED RINGER S SOLUTION,INJ.,"['109MMOL', '130MMOL', '3MMOL', '4MMOL']",['UNSPECIFIED'],"109MMOL,130MMOL,3MMOL,4MMOL|UNSPECIFIED|INJ."
Acetazolamide,Oral:,250 mg Tablet ,S01EC01,,,,STREPTOKINASE,STREPTOKINASE,ACETAZOLAMIDE,ACETAZOLAMIDE,PO,['250MG'],['TABLET'],250MG|TABLET|PO
Acetylcysteine,Oral:,600 mg Effervescent tablet ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO,['600MG'],['TABLET'],600MG|TABLET|PO
Acetylcysteine,Oral:,100 mg Sachet ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO,['100MG'],['SACHET'],100MG|SACHET|PO
Acetylcysteine,Oral:,200 mg Sachet ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO,['200MG'],['SACHET'],200MG|SACHET|PO
Acetylcysteine,Oral:,100 mg/5 mL Granules for suspension in 150 mL ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,PO,"['100MG/5ML', '150ML']",['SUSPENSION'],"100MG/5ML,150ML|SUSPENSION|PO"
Acetylcysteine,Inj.:,200 mg/mL in 10 mL Ampul (IV Infusion) ,R05CB01,,,,STREPTOKINASE,STREPTOKINASE,ACETYLCYSTEINE,ACETYLCYSTEINE,INJ.,"['10ML', '200MG']",['AMPUL'],"10ML,200MG|AMPUL|INJ."
